timestamp,package,core,uncore,dram,psys,cpu
0.125,0.909485,0.397827,0.008667,0.000000,1.749634,0
0.237,0.692566,0.262573,0.012817,0.000000,1.418579,0
0.350,1.146301,0.308655,0.012207,0.000000,1.506897,0
0.462,1.010193,0.558411,0.013428,0.000000,1.712769,0
0.565,0.777039,0.377319,0.013855,0.000000,1.575256,0
0.676,0.814880,0.331482,0.012756,0.000000,1.767639,0
0.788,0.808044,0.301636,0.012451,0.000000,1.749756,0
0.901,0.722595,0.274536,0.014771,0.000000,1.442322,0
1.013,0.807800,0.372437,0.013489,0.000000,1.557373,0
1.125,0.736084,0.313354,0.012207,0.000000,1.466370,0
1.237,0.706055,0.288818,0.011780,0.000000,1.441528,0
1.350,0.726746,0.310547,0.011047,0.000000,1.469666,0
1.463,0.828796,0.385010,0.014099,0.000000,1.634521,0
1.576,0.871277,0.453674,0.013000,0.000000,1.644958,0
1.688,0.950134,0.457031,0.009155,0.000000,1.947693,0
1.801,0.966003,0.484558,0.012817,0.000000,1.797058,0
1.914,0.737000,0.300049,0.013306,0.000000,1.422607,0
2.026,0.630859,0.213318,0.013367,0.000000,1.338196,0
2.138,1.126526,0.665771,0.015015,0.000000,2.106384,0
2.250,0.683533,0.177246,0.013184,0.000000,1.526123,0
2.363,0.628296,0.197937,0.013977,0.000000,1.337097,0
2.475,0.629944,0.209412,0.013611,0.000000,1.328552,0
2.587,0.684448,0.265198,0.013611,0.000000,1.388611,0
2.699,0.826904,0.349548,0.013733,0.000000,1.816345,0
2.812,0.802002,0.313232,0.013550,0.000000,1.580994,0
2.926,0.654175,0.224670,0.013062,0.000000,1.344238,0
3.038,0.704773,0.287842,0.015381,0.000000,1.448059,0
3.152,0.618958,0.191162,0.012878,0.000000,1.316711,0
3.264,0.682617,0.257446,0.013916,0.000000,1.391113,0
3.376,0.672913,0.252441,0.010681,0.000000,1.439331,0
3.491,0.719971,0.277466,0.018005,0.000000,1.341919,0
3.594,0.622437,0.235779,0.012024,0.000000,1.296692,0
3.696,0.634644,0.239746,0.014954,0.000000,1.282227,0
3.798,0.575623,0.190186,0.010864,0.000000,1.274963,0
3.906,0.562256,0.172668,0.010071,0.000000,1.300232,0
4.016,0.677002,0.259644,0.015808,0.000000,1.298279,0
4.119,0.619568,0.235657,0.013672,0.000000,1.288757,0
4.221,0.684387,0.291199,0.013855,0.000000,1.363464,0
4.323,0.606201,0.229187,0.010925,0.000000,1.264771,0
4.426,0.569824,0.184875,0.014771,0.000000,1.210999,0
4.529,0.598938,0.216431,0.012390,0.000000,1.269409,0
4.635,0.664429,0.270996,0.011719,0.000000,1.489197,0
4.752,0.767761,0.332520,0.012024,0.000000,1.532227,0
4.866,0.829773,0.399353,0.011902,0.000000,1.621460,0
4.979,0.782166,0.341248,0.016296,0.000000,1.524719,0
5.094,0.729126,0.296143,0.012817,0.000000,1.452576,0
5.208,0.718506,0.291321,0.012939,0.000000,1.468933,0
5.323,0.650513,0.235474,0.011841,0.000000,1.352844,0
5.436,0.895752,0.467529,0.008667,0.000000,1.628235,0
5.540,0.671448,0.271667,0.016052,0.000000,1.418457,0
5.652,0.636597,0.220032,0.009583,0.000000,1.310608,0
5.762,0.743042,0.289001,0.016296,0.000000,1.513489,0
5.864,0.839478,0.386169,0.015503,0.000000,1.622314,0
5.967,0.810608,0.412781,0.012024,0.000000,1.503235,0
6.069,0.751343,0.348206,0.012878,0.000000,1.435669,0
6.172,0.576233,0.205017,0.012207,0.000000,1.232178,0
6.274,0.650085,0.230225,0.012451,0.000000,1.461060,0
6.376,0.583923,0.151367,0.014465,0.000000,1.276672,0
6.479,0.603394,0.210144,0.011658,0.000000,1.261353,0
6.581,0.650574,0.259338,0.013184,0.000000,1.382690,0
6.691,0.671326,0.274170,0.010803,0.000000,1.453674,0
6.806,0.746948,0.273010,0.012146,0.000000,1.630005,0
6.919,0.772888,0.309265,0.014160,0.000000,1.536621,0
7.033,0.839722,0.391968,0.016602,0.000000,1.637390,0
7.146,1.174866,0.319885,0.013550,0.000000,1.500610,0
7.262,0.744263,0.304871,0.013550,0.000000,1.592102,0
7.376,0.764832,0.240112,0.014221,0.000000,1.615662,0
7.492,0.622681,0.194763,0.013672,0.000000,1.334045,0
7.604,0.625854,0.214539,0.006592,0.000000,1.348022,0
7.718,0.747681,0.316223,0.014832,0.000000,1.479065,0
7.830,0.624817,0.211548,0.009216,0.000000,1.322876,0
7.943,0.788635,0.388306,0.013000,0.000000,1.746521,0
8.062,0.991699,0.492188,0.015381,0.000000,1.659790,0
8.174,0.682068,0.261414,0.014160,0.000000,1.431335,0
8.287,0.709290,0.290283,0.008606,0.000000,1.443481,0
8.401,0.711670,0.289124,0.009949,0.000000,1.425842,0
8.512,0.633362,0.225464,0.013184,0.000000,1.382874,0
8.627,0.735107,0.305481,0.010193,0.000000,1.474182,0
8.739,0.762451,0.343750,0.011536,0.000000,1.540283,0
8.854,0.749329,0.322754,0.009155,0.000000,1.482910,0
8.966,0.734497,0.320862,0.013428,0.000000,1.495544,0
9.080,0.796997,0.353271,0.015869,0.000000,1.543884,0
9.193,0.794006,0.350281,0.014771,0.000000,1.570129,0
9.307,0.765381,0.330627,0.016296,0.000000,1.507202,0
9.419,0.677490,0.273865,0.009949,0.000000,1.420471,0
9.535,0.703979,0.281067,0.011841,0.000000,1.409180,0
9.647,0.698059,0.281372,0.015259,0.000000,1.420776,0
9.759,0.765564,0.302673,0.013489,0.000000,1.712097,0
9.872,0.786377,0.289612,0.013550,0.000000,1.584595,0
9.985,0.708984,0.283997,0.015686,0.000000,1.418884,0
